subj.number,script.subjectid,values.selected_1,values.selected_2,values.selected_3,values.selected_1_id,values.selected_2_id,values.selected_3_id
1,754514323,go_savoury,nogo_savoury,filler_sweet,CHI2.jpg,PIZ1.jpg,CAK1.jpg
2,966500200,nogo_sweet,filler_savoury,filler_savoury,BIS2.jpg,PIZ2.jpg,PIZ1.jpg
3,339903871,go_sweet,filler_sweet,go_savoury,CAK2.jpg,BIS3.jpg,PIZ3.jpg
4,898421346,go_savoury,filler_savoury,nogo_sweet,PIZ1.jpg,CHI2.jpg,CAK1.jpg
5,962947493,go_savoury,go_savoury,go_sweet,PIZ3.jpg,PIZ2.jpg,CAK1.jpg
6,355787998,go_sweet,nogo_savoury,nogo_sweet,BIS1.jpg,CRI3.jpg,CHO3.jpg
7,793170753,go_savoury,go_savoury,nogo_savoury,PIZ1.jpg,PIZ2.jpg,CHI1.jpg
8,505736001,nogo_sweet,nogo_sweet,go_sweet,CHO2.jpg,CHO3.jpg,BIS3.jpg
9,318095401,nogo_savoury,go_sweet,go_savoury,CRI3.jpg,CHO1.jpg,PIZ1.jpg
10,632988085,nogo_savoury,nogo_savoury,go_savoury,PIZ1.jpg,PIZ3.jpg,CHI1.jpg
11,231332048,nogo_sweet,filler_savoury,nogo_savoury,CHO2.jpg,CHI1.jpg,PIZ1.jpg
12,19542589,nogo_sweet,nogo_sweet,filler_sweet,BIS2.jpg,BIS1.jpg,CHO1.jpg
13,900553996,nogo_savoury,nogo_sweet,filler_savoury,CHI1.jpg,CHO1.jpg,PIZ2.jpg
14,409714317,go_savoury,nogo_savoury,go_savoury,PIZ2.jpg,CHI1.jpg,PIZ3.jpg
15,678486352,filler_sweet,nogo_sweet,filler_savoury,CAK2.jpg,CHO2.jpg,CHI1.jpg
16,155873958,filler_savoury,go_sweet,nogo_savoury,PIZ3.jpg,CHO3.jpg,CHI3.jpg
17,966551690,filler_sweet,go_savoury,go_savoury,CAK2.jpg,PIZ3.jpg,PIZ2.jpg
18,310026331,go_sweet,nogo_savoury,go_sweet,CAK1.jpg,PIZ3.jpg,CAK3.jpg
19,729020513,filler_savoury,go_savoury,filler_sweet,PIZ1.jpg,CHI1.jpg,CAK2.jpg
20,197796674,nogo_savoury,filler_savoury,nogo_savoury,PIZ3.jpg,CHI1.jpg,PIZ2.jpg
21,906400142,filler_sweet,go_savoury,filler_savoury,CHO1.jpg,PIZ1.jpg,CRI1.jpg
22,131308042,filler_sweet,nogo_savoury,go_sweet,CAK1.jpg,PIZ1.jpg,CHO1.jpg
23,890385805,filler_savoury,go_savoury,filler_savoury,PIZ2.jpg,CHI1.jpg,PIZ3.jpg
24,149381291,nogo_savoury,filler_sweet,go_savoury,PIZ3.jpg,CHO1.jpg,CHI2.jpg
25,92760949,filler_savoury,filler_savoury,nogo_savoury,PIZ1.jpg,PIZ2.jpg,CRI1.jpg
26,300152087,go_sweet,filler_sweet,filler_savoury,CHO2.jpg,BIS1.jpg,CRI3.jpg
27,991397328,nogo_savoury,filler_savoury,go_savoury,PIZ1.jpg,CHI1.jpg,CRI1.jpg
28,85193349,filler_savoury,go_savoury,filler_savoury,CRI2.jpg,PIZ1.jpg,CRI1.jpg
29,392516957,go_savoury,filler_savoury,filler_sweet,PIZ1.jpg,CHI1.jpg,CHO1.jpg
30,963825255,nogo_savoury,go_sweet,filler_savoury,CHI1.jpg,CHO3.jpg,PIZ3.jpg
31,563557643,filler_savoury,filler_sweet,nogo_savoury,CHI1.jpg,CHO1.jpg,PIZ2.jpg
32,371613056,nogo_savoury,filler_savoury,nogo_sweet,CHI1.jpg,PIZ2.jpg,CAK1.jpg
33,239671458,go_sweet,filler_savoury,nogo_savoury,CHO1.jpg,CHI3.jpg,PIZ1.jpg
34,917223872,nogo_savoury,go_sweet,go_savoury,PIZ1.jpg,CAK2.jpg,CHI1.jpg
